country,prop_emnes,prop_emnes_excl_nat_res,prop_emnes_excl_former_col_power,zero_mnes,zero_mnes_excl_nat_res,zero_mnes_excl_former_col_power,geographic_proximity,colonial_link,c1_voice_and_acc,c2_pol_stability,c3_gov_effectiveness,c4_reg_quality,c5_rule_of_law,c6_control_of_corruption,gni_per_capita,perc_roads_paved,fixed_lines_per_1000,mobile_hones_per_1000,total_phones_per_1000
yemen,0.0,0.0,0.0,False,False,False,False,True,-0.72,-1.19,-0.65,-0.42,-0.89,-0.7,490.0,11.5,28.0,21.0,49
sudan,0.2,0.2,0.2,False,False,False,False,False,-1.75,-2.38,-1.34,-0.76,-1.13,-1.13,370.0,36.3,21.0,6.0,27
mauritania,0.5,0.5,1.0,False,False,False,False,True,-0.67,-0.45,-0.36,-0.18,-0.48,-0.7,280.0,11.3,12.0,92.0,104
angola,0.12,0.0476190476190476,0.1363636363636363,False,False,False,False,True,-1.37,-2.33,-1.58,-1.96,-1.37,-1.38,710.0,10.4,6.0,9.0,15
central_african_republic,0.0,0.0,,False,False,True,False,True,-0.52,-0.34,-0.99,-0.68,-0.62,-0.99,250.0,2.7,2.0,3.0,5
lesotho,0.0,0.0,0.0,False,False,False,False,True,-0.03,1.07,0.05,-0.17,-0.08,0.17,550.0,18.3,13.0,42.0,55
senegal,0.0263157894736842,0.03125,0.1111111111111111,False,False,False,False,True,-0.11,-0.84,0.24,-0.14,-0.28,-0.4,470.0,29.3,22.0,55.0,77
mali,0.0,0.0,0.0,False,False,False,False,True,0.28,0.45,-1.06,0.1,-0.69,-0.56,240.0,12.5,5.0,5.0,10
chad,0.0,0.0,,False,False,True,False,True,-0.89,-0.8,-0.21,-0.28,-0.82,-0.61,210.0,0.8,2.0,4.0,6
liberia,0.0,0.0,0.0,False,False,False,False,False,-1.16,-1.36,-1.41,-1.66,-1.52,-1.24,140.0,6.2,2.0,1.0,3
kiribati,0.0,0.0,0.0,False,False,False,False,False,1.15,,-0.08,-0.92,-0.31,-0.61,960.0,,,,0
uganda,0.4210526315789473,0.4285714285714285,0.5161290322580645,False,False,False,True,True,-0.94,-1.35,-0.15,0.18,-0.63,-0.9,240.0,6.7,2.0,16.0,18
samoa,0.125,0.125,0.125,False,False,False,False,False,0.62,,-0.08,0.03,-0.14,0.17,1430.0,,,,0
niger,0.0,0.0,0.0,False,False,False,False,True,-0.07,-0.14,-1.02,-0.25,-0.83,-0.92,180.0,7.9,2.0,1.0,3
afghanistan,1.0,1.0,1.0,False,False,False,False,False,-1.76,-2.44,-1.3,-3.57,-2.31,-1.59,,13.3,1.0,1.0,2
mozambique,0.1923076923076923,0.1923076923076923,0.238095238095238,False,False,False,True,True,-0.28,-0.27,-0.26,-0.14,-0.73,-0.43,200.0,18.7,5.0,14.0,19
somalia,,,,True,True,True,False,False,-1.37,-1.12,-2.58,-2.36,-1.71,-1.63,,11.8,10.0,3.0,13
