country,prop_emnes,prop_emnes_excl_nat_res,prop_emnes_excl_former_col_power,zero_mnes,zero_mnes_excl_nat_res,zero_mnes_excl_former_col_power,geographic_proximity,colonial_link,c1_voice_and_acc,c2_pol_stability,c3_gov_effectiveness,c4_reg_quality,c5_rule_of_law,c6_control_of_corruption,gni_per_capita,perc_roads_paved,fixed_lines_per_1000,mobile_hones_per_1000,total_phones_per_1000
madagascar,0.1111111111111111,0.12,0.2727272727272727,False,False,False,False,True,0.25,0.0,-0.3,-0.1,-0.65,-0.8,230.0,11.6,4.0,10.0,14
democratic_republic_of_congo,0.2,0.25,0.25,False,False,False,True,True,-1.91,-2.83,-1.63,-2.87,-1.79,-1.4,100.0,,0.0,11.0,11
benin,0.0,0.0,0.0,False,False,False,False,True,0.44,0.27,-0.06,0.15,-0.48,-0.22,380.0,20.0,9.0,32.0,41
burundi,0.0,0.0,0.0,False,False,False,False,False,-1.66,-1.77,-1.2,-0.77,-0.95,-1.36,100.0,7.1,3.0,7.0,10
bhutan,,,,True,True,True,False,False,-1.63,0.6,0.96,-0.39,-0.58,1.33,600.0,,,,0
comoros,0.0,0.0,,False,False,True,False,True,-0.47,,-0.99,-0.79,-1.02,-0.61,390.0,,,,0
haiti,0.0,0.0,0.0,False,False,False,False,True,-0.79,-0.71,-1.45,-1.13,-1.49,-1.02,440.0,24.3,16.0,17.0,33
sao_tome_and_principe,0.0,0.0,,False,False,True,False,True,0.93,,-0.86,-0.39,-0.66,0.17,300.0,,,,0
bangladesh,0.12,0.125,0.1666666666666666,False,False,False,False,True,-0.34,-0.56,-0.45,-0.02,-0.68,-0.64,380.0,9.5,5.0,8.0,13
zambia,0.088235294117647,0.09375,0.1666666666666666,False,False,False,False,True,-0.24,-0.48,-0.79,0.43,-0.47,-0.85,340.0,22.0,8.0,13.0,21
sierra_leone,0.0,0.0,,False,False,True,False,True,-1.36,-1.34,-1.57,-1.07,-0.77,-0.77,140.0,7.9,5.0,13.0,18
malawi,0.0,0.0,0.0,False,False,False,False,False,-0.28,0.05,-0.67,0.02,-0.51,-0.22,160.0,18.5,7.0,8.0,15
nepal,0.0,0.0,0.0,False,False,False,False,False,-0.12,-1.02,-0.72,-0.3,-0.31,-0.42,230.0,30.8,14.0,1.0,15
ethiopia,0.0588235294117647,0.0588235294117647,0.0588235294117647,False,False,False,False,False,-1.0,-0.8,-0.87,-0.85,-0.46,-0.09,100.0,12.0,5.0,1.0,6
maldives,0.6666666666666666,0.6666666666666666,0.6666666666666666,False,False,False,False,False,-0.94,,0.7,0.14,-0.66,-0.61,2170.0,,,,0
vanuatu,0.125,0.1428571428571428,0.125,False,False,False,False,False,0.62,,-0.47,-0.26,-0.31,-0.22,1070.0,,,,0
eritrea,,,,True,True,True,False,False,-1.42,0.16,-0.21,-0.52,-0.12,-0.05,190.0,21.8,9.0,0.0,9
tanzania,0.2894736842105263,0.2777777777777778,0.2894736842105263,False,False,False,True,False,-0.15,-0.33,-0.32,0.06,-0.23,-1.01,290.0,4.2,5.0,19.0,24
laos,0.0,0.0,0.0,False,False,False,False,False,-1.43,0.4,-0.67,-1.18,-1.02,-0.91,310.0,44.5,11.0,10.0,21
djibouti,0.1428571428571428,0.1428571428571428,0.2,False,False,False,False,True,-0.56,,-0.86,-0.4,-0.5,-0.99,850.0,,,,0
togo,0.125,0.1428571428571428,0.1428571428571428,False,False,False,False,True,-1.09,-0.63,-1.48,-0.59,-0.79,-0.66,270.0,31.6,10.0,35.0,45
cambodia,0.0,0.0,0.0,False,False,False,False,False,-0.35,-1.22,-0.27,0.04,-0.74,-0.57,300.0,16.2,3.0,28.0,31
gambia,0.0,0.0,0.0,False,False,False,False,True,-0.98,0.71,0.25,-0.08,-0.25,-0.11,270.0,35.4,28.0,73.0,101
equatorial_guinea,0.5,1.0,0.5,False,False,False,False,False,-1.46,,-1.9,-1.54,-1.26,-1.76,930.0,,,,0
burkina_faso,0.2,0.2,1.0,False,False,False,False,True,-0.31,-0.33,-0.09,-0.04,-0.64,-0.72,250.0,16.0,5.0,8.0,13
cape_verde,,,,True,True,True,False,False,0.86,,0.18,0.1,0.57,0.17,1250.0,,,,0
myanmar,0.0909090909090909,0.0909090909090909,0.0909090909090909,False,False,False,False,False,-2.12,-1.41,-1.31,-1.37,-1.14,-1.25,,12.2,7.0,1.0,8
solomon_islands,0.2631578947368421,0.3125,0.3125,False,False,False,False,True,0.06,,-0.73,-0.92,-1.02,-0.22,580.0,,,,0
guinea,0.1818181818181818,0.2,0.2857142857142857,False,False,False,False,True,-1.12,-1.18,0.08,0.03,-0.82,-0.41,410.0,16.5,3.0,12.0,15
tuvalu,,,,True,True,True,False,False,1.39,,,,,,,,,,0
rwanda,0.0,0.0,0.0,False,False,False,False,False,-1.46,-1.56,-0.21,-0.47,-0.83,0.11,230.0,8.3,3.0,14.0,17
guinea_bissau,0.0,0.0,,False,False,True,False,True,-0.85,-1.05,-1.49,-1.14,-1.36,-0.4,130.0,10.3,9.0,0.0,9
